"","Country Name","Country Code","Indicator Name","Indicator Code","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"43","Congo, Dem. Rep.","COD","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","20272492262.693","20436174805.1","22291091895.708","21355368358.72","21330876972.619","20081508294.836","20608363194.977","19992879403.46","21266093203.638","23102819144.667","25202900382.851","27232749597.071","29872916477.475","32418993552.155","34028500653.231","36170952291.382","39203673076.535","42414784447.701","43696967208.414","49142683507.854","57377953169.235","63954295208.206","74312567452.939","83831229357.805","90121945556.596","93915489289.672","99582887729.655","106232665526.56"
"44","Congo, Rep.","COG","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","6909521996.0909","7362125019.679","8016642766.9844","7571807276.0486","7719770214.3612","5814168840.2906","6103348730.0194","7491995903.1235","8280990089.994","7607122759.9763","8451311511.9023","8943215089.608","9682774987.3285","10173414219.22","10062158423.01","11994945580.89","14913258216.06","14168468353.416","16040253074.607","18942968901.537","21254381086.756","21470355525.604","27030906925.24","27412885857.653","28507863808.469","22406270880.252","18395388287.582","18601885324.471","19823801667.875","19083491080.322","17304618573.698","19830929385.749"
"45","Colombia","COL","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","159095377034.78","168595093593.08","180006993209.17","195734011246.69","213555220784.68","229567383065.64","237776795934.99","250052800504.37","255294385667.29","248326181784.62","259119851687.44","268553175355.03","278942606988.62","293377825614.88","317135587241.47","346128974009.17","380374244244.36","415161123434.6","435339701109.35","445336792761.16","468494515041.58","507405547213.15","532590461643.63","571320090863.89","607259189846.4","622183968337.13","658039414706.68","681250506662.52","728608189905.72","771755452146.13","749670819245.33","852114398226.16"
"46","Comoros","COM","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","651327861.12005","637324958.67973","714867329.72666","750225017.96147","723771104.50747","766568571.41302","769168392.39714","813711376.93686","831949681.60675","861327756.58688","976788311.07254","1023026151.9082","1059240103.2736","1102100585.5645","1152318820.446","1223230352.372","1294996630.1933","1346023484.647","1420672307.4206","1476965338.2975","1551863140.4478","1650025527.7995","1814962014.8979","1955354402.0204","2071221657.9472","2117437030.2457","2290888118.1283","2479457610.1106","2632762418.0772","2725524213.9216","2750651963.0932","2928359518.3902"
"47","Cabo Verde","CPV","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","361878469.58061","377887316.10529","428702134.56822","476260950.59898","578016502.30468","670819627.95431","758200261.9054","858287982.36585","973356525.99929","1092989440.9972","1265342994.6258","1342054063.2269","1417041384.3572","1513779960.3703","1709940631.4418","1858712024.9406","2057169641.2617","2476497653.9794","2676513104.3062","2662147971.8007","2681411719.476","2859939245.1291","2814067315.4261","2860973891.1569","2830720284.5026","3029167495.5356","3238313167.8535","3447518124.1818","3730790589.3904","4023051284.6318","3459851377.0267","3872110676.225"
"48","Costa Rica","CRI","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","14978712355.49","16144748489.307","18078692359.21","19852875847.099","21468016187.659","22733740406.856","23565204413.396","25267364674.029","27100212090.613","28142924125.517","29600270291.27","31321411324.481","32894965946.083","34986625919.902","37665306254.285","40591451078.27","45306815463.768","50536000811.363","54303126510.133","53430828128.92","57034151594.999","60678188581.319","65070059286.928","68606513156.978","73917896674.116","79359314660.549","89561552361.329","95456146478.584","100873430252.26","107443512614.22","106929779387.21","112428702661.35"
"49","Caribbean small states","CSS","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","34619949390.017","36333551341.153","38863888285.158","41901733661.313","43492429076.832","46541989158.023","49664946108.495","51614614462.737","53094979488.51","56273042687.911","59356333212.524","61902457162.962","65441379350.901","70849812135.328","76744854654.279","81507177016.346","90093945183.938","96446575042.282","100144433058.57","96816005525.816","99918940560.031","100259602799.06","104642351666.48","108112896841.09","110062833178.69","111071900930.38","108905525182.37","114944596860.79","117556486325.78","121720989333.07","112642756541.64","125013817724.41"
"50","Cuba","CUB","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"51","Curacao","CUW","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","3369627405.0425","3538534802.7273","3724708899.8903","3796820810.7719","3746172940.1201","3845347702.9428","3945579397.6313","3892687092.1624","3909538839.1096","3905176287.4627","3942006836.734","3923428355.2229","4083693913.0185","4084052648.8026","4053622448.0719","3353528077.6572","3624336791.2814"
"52","Cayman Islands","CYM","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","3395415127.1708","3579426001.1898","2506666954.654","2247527709.2971","2213929718.7715","2351877741.0765","2635204595.3793","2961317695.448","3294897803.5198","3698959086.1542","3533841388.4071",""
